sparsity_label,T,sample_idx,label,gsshap_comp,gsshap_suff,gsshap_gini,gsshap_npl,gsshap_stability,timeshap_comp,timeshap_suff,timeshap_stability,winshap_comp
T32-Rich,32,0,1,0.0,0.0,-1.003125,4,,0.0,0.0,,0.0
T32-Rich,32,1,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9024938796597333,0.0
T32-Rich,32,2,1,0.0,0.0,-1.003125,4,,0.0,0.0,,0.0
T32-Rich,32,3,0,-0.9979314208030701,0.4928896427154541,-1.003125,4,,-0.9979314208030701,0.2675561010837555,0.9923954372623572,-0.9979314208030701
T32-Rich,32,4,0,-0.9929531216621399,0.4894089102745056,-1.003125,4,,-0.9929531216621399,0.26056239008903503,0.9895437262357413,-0.9929531216621399
T32-Rich,32,5,0,-0.8554294109344482,0.31649819016456604,-1.003125,4,,-0.8554294109344482,0.23052604496479034,0.9938741022391211,-0.8554294109344482
T32-Rich,32,6,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9800380228136879,0.0
T32-Rich,32,7,0,-0.9830581545829773,0.4905330538749695,-1.003125,4,,-0.9830581545829773,0.27775487303733826,0.9872201098436837,-0.9830581545829773
T32-Rich,32,8,0,-0.99139404296875,0.4334280490875244,-1.003125,4,,-0.99139404296875,0.25438565015792847,0.9932403886776507,-0.99139404296875
T32-Rich,32,9,1,0.0,0.0,-1.003125,4,,0.0,0.0,,0.0
T32-Rich,32,10,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9208699407046813,0.0
T32-Rich,32,11,0,-0.995431661605835,0.4086883068084717,-1.003125,4,,-0.995431661605835,0.2514125406742096,0.9915504858470636,-0.995431661605835
T32-Rich,32,12,0,-0.9278185963630676,0.23912206292152405,0.4260204175437048,4,0.5263157894736842,-0.9278185963630676,0.26496565341949463,0.9845796366708912,-0.9278185963630676
T32-Rich,32,13,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9852133502323613,0.0
T32-Rich,32,14,0,-0.666870653629303,0.45818471908569336,0.44246018956475597,4,0.9824561403508772,-0.9163742661476135,0.285588800907135,0.9901774397972115,-0.9163742661476135
T32-Rich,32,15,0,-0.9931890964508057,0.45531296730041504,-1.003125,4,,-0.9931890964508057,0.2567746937274933,0.9905999155048582,-0.9931890964508057
T32-Rich,32,16,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9452220146147816,0.0
T32-Rich,32,17,0,-0.9990245699882507,0.25035637617111206,0.42425046396179944,4,1.0,-0.9990245699882507,0.25046616792678833,0.9955640050697082,-0.9990245699882507
T32-Rich,32,18,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9511263802433896,0.0
T32-Rich,32,19,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9434952415769154,0.0
T32-Rich,32,20,0,-0.9998679757118225,1.720321233733557e-05,0.3960578759842355,4,0.9871794871794871,-0.9998679757118225,0.25181177258491516,0.9977820025348539,-0.9998679757118225
T32-Rich,32,21,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9489083827782437,0.0
T32-Rich,32,22,0,-0.8516008257865906,0.05455261468887329,0.4473975859669601,4,0.9999999999999999,-0.8516008257865906,0.23923584818840027,0.9948246725813265,-0.8516008257865906
T32-Rich,32,23,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.827455943103172,0.0
T32-Rich,32,24,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9797211660329529,0.0
T32-Rich,32,25,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9084336711072236,0.0
T32-Rich,32,26,1,0.0,0.0,-1.003125,4,,0.0,0.0,,0.0
T32-Rich,32,27,1,0.0,0.0,-1.003125,4,,0.0,0.0,,0.0
T32-Rich,32,28,0,-0.9896989464759827,0.4933513402938843,-1.003125,4,,-0.9896989464759827,0.2695426344871521,0.9876425855513306,-0.9896989464759827
T32-Rich,32,29,0,-0.9993868470191956,0.25012314319610596,0.6037226822513106,4,1.0,-0.9993868470191956,0.24989765882492065,0.9964089564850017,-0.9993868470191956
T32-Rich,32,30,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.8501832235574319,0.0
T32-Rich,32,31,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9881706801858892,0.0
T32-Rich,32,32,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9593940021477018,0.0
T32-Rich,32,33,1,0.0,0.0,-1.003125,4,,0.0,0.0,,0.0
T32-Rich,32,34,0,-0.99073725938797,0.41829121112823486,-1.003125,4,,-0.99073725938797,0.25618645548820496,0.99070553443177,-0.99073725938797
T32-Rich,32,35,0,-0.5574175715446472,0.4033927917480469,0.44246006402121596,4,0.986842105263158,-0.8067910075187683,0.2515101432800293,0.99070553443177,-0.8067910075187683
T32-Rich,32,36,0,-0.80794757604599,0.3443205654621124,0.4305846754479994,4,0.9210526315789475,-0.80794757604599,0.27740198373794556,0.9831009716941274,-0.80794757604599
T32-Rich,32,37,0,-6.851497892057523e-05,0.9997536540031433,0.2644229736963595,4,0.7456140350877193,-0.9997536540031433,0.25002601742744446,0.9963033375580901,-0.9997536540031433
T32-Rich,32,38,0,-0.9994855523109436,0.2508057951927185,-1.003125,4,,-0.9994855523109436,0.24991756677627563,0.9976763836079424,-0.9994855523109436
T32-Rich,32,39,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9875369666244188,0.0
T32-Rich,32,40,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9829404423130238,0.0
T32-Rich,32,41,0,-0.9940319061279297,0.46825075149536133,-1.003125,4,,-0.9940319061279297,0.2595921754837036,0.9918673426277987,-0.9940319061279297
T32-Rich,32,42,1,0.0,0.0,-1.003125,4,,0.0,0.0,,0.0
T32-Rich,32,43,1,0.0,0.0,-1.003125,4,,0.0,0.0,,0.0
T32-Rich,32,44,0,-0.9990475177764893,0.29609593749046326,-1.003125,4,,-0.9990475177764893,0.25052136182785034,0.9927122940430922,-0.9990475177764893
T32-Rich,32,45,0,-0.999295175075531,0.29828423261642456,-1.003125,4,,-0.999295175075531,0.25031906366348267,0.9961977186311786,-0.999295175075531
T32-Rich,32,46,1,0.0,0.0,-1.003125,4,,0.0,0.0,0.9796155471060413,0.0
T32-Rich,32,47,1,0.0,0.0,-1.003125,4,,0.0,0.0,,0.0
